JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
J Clin Med,Journal of Clinical Medicine and Research,Marshfield Clinic Research Foundation,Adedayo A. Onitilo,1539-4182,1554-6179,
J Clin Med Res,Journal of Clinical Microbiology,American Society for Microbiology,Alexander J. McAdam,0095-1137,1098-660X,4.959
J Clin Microbiol,Journal of Clinical Nuerology,Korean Neurological Association,Kyoung-Min Lee,1738-6568,2005-5013,2.63
J Clin Neurol,Journal of Clinical and Translational Hepatology,Xia & He Publishing,"Hong Ren, George Y. Wu, Harry Hua-Xiang Xia",2225-0719,2310-8819,
J Clin Transl Hepatol,Journal of Clinical Virology,Elsevier ,"H.G.M. Niesters, B. Pinsky",,1386-6532,3.02
J Clin Virol,Journal of Community Health,Springer,Pascal James Imperato,0094-5145,1573-3610,1.802
J Community Health,Journal of Community Hospital Internal Medicine Perspectives,Taylor and Francis Ltd. ,"Robert P. Ferguson, Richard Alewis, Jeanette Huff",,2000-9666,
J Community Hosp Intern Med Perspect,The Journal of Critical Care Medicine,Sciendo,Leonard Azamfirei,2393-1809,2393-1817,
J Crit Care Med (Targu Mures),Journal of Dental Sciences,Wei-Jen Chang,Chun-Pin Chiang,,1991-7902,0.811
J Dent Sci,Journal of Diabetes Research,Hindawi,Mark Yorek,2314-6745,2314-6753,3.04
J Diabetes Res,Journal of Digestive Diseases,Wiley,"Jing-Yuan Fang, Zhiping Li, Min Hu Chen ",,1751-2980,1.689
J Dig Dis,,,,,,
J Drug Deliv,Journal of Education and Health Promotion,Wolters Kluwer Medknow Publications,Alireza Yousefy,2277-9531,2319-6440,
J Educ Health Promot,Journal of Emerging Diseases and Virology,Sciforschen,Clinton Jones,,2473-1846,
J Emerg Dis Virol,"Journal of Emergency, Trauma, and Shock",Medknow Publications,"Kelly P. O'Keefe, Praveen Aggarwal, Tracy Sanson, L.R. Murmu",0974-2700,0974-519X,
J Emerg Trauma Shock,Journal of Environmental and Public Health,Hindawi,,1687-9805,1687-9813,
J Environ Public Health,Journal of Enzyme Inhibition and Medical Chemistry,Informa,Claudiu T. Supuran,1475-6366,1475-6374,4.027
J Enzyme Inhib Med Chem,Journal of Epidemiology,Japan Epidemiological Association,Keitaro Matsuo,0917-5040,1349-9092,3.078
J Epidemiol,Journal of Epidemiology and Community Health,BMJ Group,"Martin Bobak, James R. Dunn",0143-005X,1470-2738,3.872
J Epidemiol Community Health,Journal of Ethnobiology and Ethnomedicine,BMC,Andrea Pieroni,,1746-4269,3.06
J Ethnobiol Ethnomed,Journal of Evidence Based Medicine,Wiley,"You-Ping Li, Mike Clarke",,1756-5391,
J Evid Based Med,Journal of Exercise Rehabilitation,Korean Society of Exercise Rehabilitation,Kee-Hawn Kim,2288-176X,2288-1778,
J Exerc Rehabil,Journal of Experimental & Clinical Cancer Research,BioMed Central,Mauro Castelli,0392-9078,1756-9966,6.217
J Exp Clin Cancer Res,Journal of Experimental Medicine,Rockefeller University Press,,0022-1007,1540-9538,10.892
J Exp Med,Journal of Family & Community Medicine,Medknow Publications,Sameeh Al-Almaie,2230-8229,2229-340X,
J Family Community Med,Journal of Family Medicine and Primary Care,Medknow Publications,Raman Kumar,2249-4863,2278-7135,
J Family Med Prim Care,Journal of Feline Medicine and Surgery,SAGE publications,"A. H. Sparkes, M. Scherk",1098-612X,1532-2750,1.681
J Feline Med Surg,Journal of Fungi,MDPI ,David S. Perlin,,2309-608X,
J Fungi (Basel),Journal of General and Family Medicine,Wiley,Yasuharu Tokuda,,2189-7948,
J Gen Fam Med,Journal of General Internal Medicine,Springer,"Steve Asch, Carol Bates, Jeffrey Jackson",0884-8734,1525-497,3.701
J Gen Intern Med,Journal of General Virology,"	
Microbiology Society",Mark Harris ,0022-1317,1465-2099,2.809
J Gen Virol,Journal of Geriatric Cardiology,Science Press,Hai-Yun Wu,1671-5411,1671-5411,1.056
J Geriatr Cardiol,Journal of Ginseng Research,,Man-Hee Rhee,1226-8453,1226-8453,4.007
J Ginseng Res,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 5(1):010408,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 5(2):020404,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 5(2):020417,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 5(2):050418,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 6(2):020704,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 7(2):020102,Journal of Global Health,International Society of Global Health,Ana Marusic,2047-2978,2047-2986,3.079
J Glob Health.; 8(2):020310,Journal of Global Infectious Diseases,Wolters Kluwer,Ricardo Izurieta,0974-777X,0974-8245,3.079
J Glob Infect Dis,"Journal of Health, Population and Nutrition",,Abdullah H. Baqui2072-1315,,2072-1315,2.135
J Health Popul Nutr,Journal of Healthcare Engineering,,Loredana Zollo,,,1.295
J Healthc Eng,Journal of Hematology & Oncology,,Prof Delong Liu,1756-8722,1756-8722,7.373
J Hematol Oncol,Journal of Hospital Infection,WB Saunders,Jim Gray,0195-6701,1532-2939 ,3.354
J Hosp Infect,Journal of Human Genetics,,Yutaka Suzuki,,1435-232X,
J Hum Genet,Journal of Immune Based Therapies and Vaccines,BioMed Central,,1476-8518,1476-8518,
J Immune Based Ther Vaccines,Journal of Immunoassay and Immunochemistry,Taylor and Francis,,1532-1819,1532-1819,
J Immunoassay Immunochem,Journal of Immunology,American Association of Immunologists ,Eugene M. Oltz,0022-1767,1550-6606 ,4.718
J Immunol, Journal of Immunology Research,,Professor Holland,,,3.404
J Immunol Res,Journal of Immunological Sciences,,,2578-3009,2578-3009,
J Immunol Sci,The Journal of Infectious Diseases,University of Chicago Press,Martin Hirsch,0022-1899 ,0022-1899 ,5.186
J Infect Dis,Journal of Inflammation,,Paul Kirkham,1476-9255,1476-9255,2.885
J Inflamm (Lond),Journal of Innate Immunity,,"Herwald, H.",1662-811X,1662-8128,4.085
J Innate Immun,Journal of Insect Science,Oxford University Press,Phyllis Weintraub,1536-2442,1536-2442,0.921
J Insect Sci,Journal of the International AIDS Society,John Whiley and Sons,Susan Kippax,1758-2652,1758-2652,5.192
J Int AIDS Soc, Journal of International Society of Preventive and Community Dentistry,Wolters Kluwer,Dr. Rushabh Dagli,2231-0762,2250-1002,
J Int Soc Prev Community Dent,The Journal of Intensive Care Medicine,Sage Publications,James M. Rippe,0885-0666 ,1525-1489 ,3.262 
J Intensive Care,Journal of Interferon & Cytokine Research,,Michael Gale Jr.,1079-9907,1557-7465,1.774
J Interferon Cytokine Res,Journal of Korean Medical Science,,,,,
J Korean Med Sci,Journal of Laboratory Physicians,,,0974-2727,0974-2727,
J Lab Physicians,Journal of Leukocyte Biology,Society for Leukocyte Biology,Luis J. Montaner,0741-5400 ,1938-3673 ,4.289
J Leukoc Biol,Journal of Lipid Research,American Society for Biochemistry and Molecular Biology,Edward A. Dennis,0022-2275,1539-7262,4.505
J Lipid Res,Journal of Mathematical Biology,Springer Verlag,M. Gyllenberg,0303-6812 ,1432-1416 ,1.846
J Math Biol,Journal of Medical Case Reports,BioMed Central,,,,
J Med Case Rep,Journal of Medical Case Reports,BioMed Central,,,,
J Med Case Reports,Journal of Medicinal Chemistry,American Chemical Sociey,Gunda I. Georg,0022-2623,1520-4804,6.054
J Med Chem,Journal of Medical Ethics,BMJ Group,John McMillan,0306-6800,1473-4257,1.889
J Med Ethics,Journal of Medical Genetics,BMJ Group,Constantin Polychronakos,0022-2593,1468-6244 ,5.751
J Med Genet,Journal of Medical Internet Research,JMIR Publications,Gunther Eysenbach,1438-8871,1438-8871,
J Med Internet Res,Journal of the Medical Library Association,University Library System,,1558-9439,1558-9439,
J Med Libr Assoc,Journal of Medicine and Life,,Dafin Fior Muresanu,,,
J Med Life,Journal of Medical Signals and Sensors,Isfahan University of Medical Sciences,,22287477,22287477,
J Med Signals Sens,Journal of Medical Virology,Wiley-Blackwell,Arie J. Zuckerman,0146-6615,1096-9071,2.373
J Med Virol,Journal of Menopausal Medicine,,,,,
J Menopausal Med,JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION,,,1935-7877,1935-7885,
J Microbiol Biol Educ,Journal of Molecular Biology,Elsevier,Peter Wright,0022-2836,1089-8638 ,5.067
J Mol Biol,Journal of Molecular Evolution,Springer Science+Business Media,David A. Liberles,0022-2844,1432-1432 ,1.957
J Mol Evol,Journal of Molecular and Genetic Medicine,,Susumu Minamisawa,1747-0862,1747-0862,4.07
J Mol Genet Med,Journal of Molecular Modeling,Springer,Timothy Clark,1610-2940,0948-5023,1.423
J Mol Model,Journal of Molecular Signaling,Ubiquity Press,Prof. Danny N Dhanasekaran &  Prof. Yung Hou Wong,,1750-2187,0.44
J Mol Signal,Journal of Multidisciplinary Healthcare,Dove Medical Press,Prof. Steve Campbell,,1178-2390,1.72
J Multidiscip Healthc,Journal of Nanobiotechnology,,Prof. Weibo Cai & Prof. Fernando Patolsky,,1477-3155,5.816
J Nanobiotechnology,Journal of Natural Medicines,Springer,Masami Ishibashi,1340-3443,1861-0293,1.976
J Nat Med,"Journal of Natural Science, Biology and Medicine",Medknow Publications,,0976-9668,2229-7707,
J Nat Sci Biol Med,Journal of Neuroinflammation,BioMed Central,Monica J Carson & Sue T Griffin,,"1742-2094	",6.016
J Neuroinflammation,Journal of Neurology,Springer,"Roger A. Barker, Massimo Filippi, Michael Strupp",0340-5354,1432-1459,3.999
J Neurol,Journal of Neuropathology and Experimental Neurology,Oxford University Press, John M. Lee,0022-3069,1554-6578,3.818
J Neuropathol Exp Neurol,Journal of Neuroscience Research,Wiley-Liss,Eric M Prager,0360-4012,1097-4547,4.139
J Neurosci Res,Journal of NeuroVirology,Springer,Kamel Khalili,1355-0284,1538-2443,2.517
J Neurovirol,Journal of Nucleic Acids,Hindawi Publishing Corporation,Ashis Basu,2090-0201,2090-021X,
J Nucleic Acids,Journal of Occupational and Environmental Hygiene,Taylor & Francis,T. Renee Anthony,"	1545-9624",1545-9632,1.462
J Occup Environ Hyg,Journal of Occupational and Environmental Medicine  ,Lippincott Williams & Wilkins ,,1076-2752,1536-5948,1.355
J Occup Environ Med,Journal of Occupational Medicine and Toxicology,BioMed Central,Axel Fischer & David A Groneberg,,1745-6673,2.266
J Occup Med Toxicol,Journal of Oncology,Hindawi Publishing Corporation,Bruno Vincenzi,,1687-8450,2.6
J Oncol,Journal of Ophthalmology,Hindawi Publishing Corporation,Steven F. Abcouwer,2090-004X,2090-0058,1.58
J Ophthalmol,Journal of Oral and Maxillofacial Pathology,Medknow Publications,,0973-029X,1998-393X,
J Oral Maxillofac Pathol,Journal of Orthopaedic Surgery,,Prof. Kenneth MC Cheung,,,0.957
J Orthop Surg,Journal of Orthopaedic Surgery and Research  ,BioMed Central,Nicola Maffulli,,1749-799X,1.907
J Orthop Surg Res,Journal of Orthopaedic Translation,Elsevier," Prof. Regis O'Keefe, Prof. Ling Qin",2214-031X,2214-0328 ,3.063
J Orthop Translat,Journal of Parasitology Research,Hindawi Publishing Corporation,,2090-0023 ,2090-0031,
J Parasitol Res,Journal of Pathogens,MDPI AG,James Chambers,2076-0817,,3.405
J Pathog,The Journal of Pathology,John Wiley & Sons,Peter A. Hall,"	0022-3417",1096-9896,5.942
J Pathol,Journal of Pediatric Neurosciences ,Medknow Publications,V.P. Singh,1817-1745,1998-3948,
J Pediatr Neurosci,Journal of the Pediatric Infectious Diseases Society,Oxford University Press,Theoklis Zaoutis,,2048-7207,2.456
J Pediatric Infect Dis Soc, Journal of Peptide Science ,John Wiley & Sons,Luis Moroder,"	1075-2617",1099-1387,2.081
J Pept Sci,Journal of Periodontal & Implant Science,Korean Academy of Periodontology,,2093-2278,2093-2286,1.543
J Periodontal Implant Sci,Journal of Pharmaceutical Analysis,Elsevier,Langchong He,2095-1779,,4.44
J Pharm Anal,Journal of Pharmacy and Bioallied Sciences ,Medknow Publications,R. K. Khar,"	0976-4879",0975-7406,1.04
J Pharm Bioallied Sci,Journal of Pharmaceutical Sciences ,Elsevier,Ronald T. Borchardt,"	1520-6017",0022-3549,3.369
J Pharm Sci,Journal of Pharmacology & Pharmacotherapeutics ,Medknow Publications,,0976-500X,0976-5018,
J Pharmacol Pharmacother,Journal of Pharmacopuncture,Korean Pharmacopuncture Institute,, 2093-6966,234- 6856,1.01
J Pharmacopuncture,The Journal of Physical Chemistry B ,American Chemical Society ,George C. Schatz,1520-6106,1520-5207,2.923
J Phys Chem B,Journal of Postgraduate Medicine  ,Medknow Publications,,0022-3859,0972-2823,0.855
J Postgrad Med,Journal of Pregnancy,Hindawi Publishing Corporation,,2090-2735,2090-2735,
J Pregnancy,Journal of preventive medicine and hygiene,,,,2421-4248,
J Prev Med Hyg,Journal of Preventive Medicine and Public Health ,,,,,
J Prev Med Public Health,Journal of Proteome Research ,American Chemical Society ,John R. Yates,1535-3893,1535-3907,4.268
J Proteome Res,Journal of Proteomics and Bioinformatics ,,,,0974-276X,
J Proteomics Bioinform,Journal of Public Health ,Oxford University Press,"Prof. Premila Webster, Prof. Keith Neal",1741-3842,1741-3850,2.089
J Public Health (Oxf),Journal of Public Health in Africa,PagePress Publications,"Vittorio Colizzi, Nicaise Ndembi",2038-9922,2038-9930,0.8
J Public Health Africa, Journal of Public Health Management and Practice,Lippincott Williams & Wilkins,Lloyd F. Novick,1078-4659,1550-5022,1.51
J Public Health Manag Pract,Journal of Public Health Policy ,Palgrave Macmillan,"Anthony Robbins, Phyllis Freeman",0197-5897,1745-655X,2.113
J Public Health Policy,The Journal of Public Health Research,PAGEPress Publications,,2279-9028,2279-9036,
J Public Health Res,Journal of the Royal Society Interface  , The Royal Society,Richard Cogdell,1742-5689,1742-5662,3.224
J R Soc Interface,Journal of the Royal Society of Medicine,Sage Publications,Kamran Abbasi,0141-0768,1758-1095,3.538
J R Soc Med,Journal of Radiation Research,Oxford University Press,Kenshi Komatsu,0449-3060,1349-9157,1.691
J Radiat Res,Journal of Reproduction & Infertility, Avicenna Research Institute ,,2228-5482,2251-676X,1.68
J Reprod Infertil,Journal of research in medical sciences,Medknow Publications,,1735-7136,1735-7136,1.467
J Res Med Sci, Journal of the South African Veterinary Association,"Cape Town, South Africa : AOSIS","Dr J. van Heerden, Private Practitioner, Kimberley, South Africa",1019-9128, 22249435,0.69
J S Afr Vet Assoc,Journal of Small Animal Practice,Wiley,Nicholas Jeffery, 0022-4510, 1748-5827,1.255
J Small Anim Pract, Journal of Sport and Health Science,Elsevier BV,"Peijie Chen, PhD and Walter Herzog, PhD",2095-2546,2213-2961, 3.644 
J Sport Health Sci,Journal of Statistical Physics,Springer,"Giulio Biroli, Eric Carlen, Abhishek Dhar, Irene Giardina, Alessandro Giuliani, Hal Tasaki",0022-4715,1572-9613,Five year impact factor- 1.620
J Stat Phys,Journal of Stroke,Korean Stroke Society,Jong S. Kim,2287-6391,2287-6405,2018 impact factor- 5.571
J Stroke,Journal of Structural Biology,Elsevier,"Bauke W. Dijkstra, PhD, Andreas Engel, PhD",1047-8477,,3.754
J Struct Biol,Journal of Taibah University Medical Sciences,Elsevier BV,Prof. Khalid Ibrahim Khoshhal,16583612,,0.66
J Taibah Univ Med Sci,Journal of Technology Transfer,Springer New York LLC,Albert N. Link,8929912,,Five year impact factor- 4.342
J Technol Transf,Journal of Theoretical Biology,Elsevier Inc.,"Co-Chief Editors: D. Kirschner, M. Chaplain, FRSE, A. Sasaki",10958541,225193,Five year impact factor- 2.035
J Theor Biol,Journal of Tissue Engineering,SAGE Publications,"Hae-Won Kim	
Jonathan Knowles",2041-7314,,4.148
J Tissue Eng,Journal of Toxicology,Hindawi Publishing Corporation,"Jack Ng, University of Queensland, Australia",1687-8191 ,1687-8205,1.31
J Toxicol,Journal of Toxicologic Pathology,"	Nihon Dokusei Byori Gakkai","Satoshi Furukawa, Nissan Chemical Co., Saitama, Japan",9149198,1881-915X,Impact Factor 5-Year: 1.167
J Toxicol Pathol,Journal of Traditional and Complementary Medicine, Elsevier BV,"Lee-Yan Sheen, Ciro Isidoro",22254110,,3.08
J Tradit Complement Med,Journal of Translational Medicine,BioMed Central,"Francesco Marincola, Refuge Biotechnologies, USA",,1479-5876,"
4.301 - 5-year Impact Factor"
J Transl Med,Journal of Travel Medicine, Oxford University Press,Annelies Wilder-Smith,1195-1982,1708-8305,"5 year Impact Factor
2.968"
J Travel Med,Journal of Tropical Medicine,Hindawi Publishing Corporation,,1687-9686,1687-9694,
J Trop Med,,,,,,
J Vaccines Immun,Journal of Venomous Animals and Toxins including Tropical Diseases, BioMed Central,,,1678-9199,5-year Impact Factor 2.479
J Venom Anim Toxins Incl Trop Dis,Journal of Veterinary Internal Medicine, Wiley-Blackwell,"Stephen P. DiBartola and Kenneth W. Hinchclifff
",1939-1676,1939-1676,impact factor:2.286
J Vet Intern Med,Journal of Veterinary Medicine ,,,,,
J Vet Med,Journal of Veterinary Medical Science,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",Yukari TAKEUCHI (Univ. of Tokyo),0916-7250,1347-7439,"0.910
2018 Journal Impact Factor"
J Vet Med Sci,Journal of Veterinary Research,Sciendo,"Beata Cuvelier-Mizak, National Veterinary Research Institute in Pulawy, Poland

",,2450-8608,0.829
J Vet Res,Journal of Veterinary Science,Korean Society of Veterinary Science,"Ryu, Pan Dong",1229-845X,1976-555X ,"5-Year Impact Factor
1.573"
J Vet Sci, Journal of Viral Hepatitis,Wiley,Graham Foster ,1352-0504,1365-2893,4.016
J Viral Hepat,Journal of Virology,American Society for Microbiology,Rozanne M. Sandri-Goldin,0022-538X,1098-5514,4.324 (2018)
J Virol,Journal of Virological Methods,"	
Elsevier",Paul K.S. Chan,"0166-0934

",1879-0984 ,1.746
J Virol Methods,,,,,,
J Virus Erad.; 2(1):1-4,,,,,,
J Virus Erad.; 2(Suppl 1):21-52,Journal of Visualized Experiments,"	
MyJove Corp.",,1940-087X,,1.325
J Vis Exp,JACC: Basic to Translational Science,Elsevier Inc.,Douglas L. Mann,2452-302X,,3.7
JACC Basic Transl Sci,JAMA - Journal of the American Medical Association,"	
American Medical Association (United States)",Howard Bauchner,0098-7484,1538-3598,51.273
JAMA,JAMA - Journal of the American Medical Association,"	
American Medical Association (United States)",Howard Bauchner, 0098-7484,1538-3598,51.273
JAMA - Journal of the American Medical Association,JAMA Pediatrics,"	
American Medical Association(United States)",Dimitri A. Christakis,2168-6203,2168-6211 ,12.004 
JAMA Pediatr,Japanese Journal of Infectious Diseases,national institute of infectious diseases,,1344-6304,1884-2836,1.004
Japanese Journal of Infectious Diseases,JBI Database of Systematic Reviews and Implementation Reports,Joanna Briggs Institute,,,22024433,0.74
JBI Database System Rev Implement Rep,Journal of Feline Medicine and Surgery Open Reports,,,20551169,2055-1169,
JFMS Open Rep,JHEP Reports,Elsevier,Professor Jessica Zucman-Rossi,2589-5559,,
JHEP Rep,JMIR Medical Education,JMIR Publications Inc.,,,2369-3762,
JMIR Med Educ,JMIR Medical Informatics,JMIR Publications,Christian Lovis,,2291-9694,3.188
JMIR Med Inform,JMIR mHealth and uHealth,JMIR,,2291-5222,,4.301
JMIR Mhealth Uhealth,JMIR Public Health and Surveillance,JMIR,Travis Sanchez,2369-2960,,
JMIR Public Health Surveill,JMIR Research Protocols,JMIR,,,1929-0748,
JMIR Res Protoc,JMM CASE REPORTS,Microbiology Society,,,2053-3721,1.72
JMM Case Rep,Journal of Anxiety Disorders,Elsevier,Gordon J. G. Asmundson,,0887-6185, 3.472
Journal of Anxiety Disorders,Journal of Autoimmunity,Elsevier,M.E. Gershwin, 0896-8411,,7.543
Journal of Autoimmunity,Journal of Cardiothoracic and Vascular Anesthesia,"W. B. Saunders Co., Ltd.",J. A. Kaplan,1053-0770,1532-8422,1.882
Journal of Cardiothoracic and Vascular Anesthesia,Journal of Clinical Medicine,Clarivate Analytics,Prof. Dr. Emmanuel Andrès ,,2077-0383,5.688
Journal of Clinical Medicine,Journal of clinical microbiology,"	
American Society for Microbiology (United States)",Alexander J. McAdam,0095-1137,1098-660X,4.959 (2018)
Journal of clinical microbiology,Journal of Clinical Virology,Elsevier BV,"H.G.M. Niesters, B. Pinsky",1386-6532,,3.02
Journal of Clinical Virology,Journal of Epidemiology and Global Health,Elsevier BV,Ziad A. Memish,"
2210-6006",2210-6014,
Journal of Epidemiology and Global Health,,,,,,
Journal of General Internal Medicine,,,,,,
Journal of Genetics and Genomics,,,,,,
Journal of Global Antimicrobial Resistance,,,,,,
Journal of Histotechnology,,,,,,
Journal of Hospital Infection,,,,,,
Journal of Immunology Research,,,,,,
Journal of Infection,,,,,,
Journal of Infection in Developing Countries,,,,,,
Journal of Infectious Diseases,,,,,,
Journal of Integrative Medicine,,,,,,
Journal of Korean Medical Science,,,,,,
Journal of Medical Systems,,,,,,
Journal of medical virology,,,,,,
Journal of Medicinal Chemistry,,,,,,
"Journal of Microbiology, Immunology and Infection",,,,,,
Journal of Nepal Medical Association,,,,,,
Journal of Neurology,,,,,,
Journal of Pharmaceutical Analysis,,,,,,
Journal of Public Health,,,,,,
Journal of Risk and Financial Management,,,,,,
Journal of Sport and Health Science,,,,,,
Journal of the American Academy of Dermatology,,,,,,
Journal of the American College of Emergency Physicians Open,,,,,,
Journal of the American College of Radiology : JACR,,,,,,
Journal of the Chinese Medical Association : JCMA,,,,,,
Journal of the Formosan Medical Association,,,,,,
Journal of the Pediatric Infectious Diseases Society,,,,,,
Journal of Thoracic Oncology,,,,,,
Journal of Thrombosis and Haemostasis,,,,,,
Journal of Translational Medicine,,,,,,
Journal of Travel Medicine,,,,,,
Journal of Virology,,,,,,
Journal of Zoology,,,,,,
JRSM Short Rep,,,,,,
Jundishapur J Microbiol,,,,,,
Jundishapur J Nat Pharm Prod,,,,,,
Juntendo Medical Journal,,,,,,
Kidney International,,,,,,
Kidney Res Clin Pract,,,,,,
Korean Circ J,,,,,,
Korean J Anesthesiol,,,,,,
Korean J Crit Care Med,,,,,,
Korean J Fam Med,,,,,,
Korean J Food Sci Anim Resour,,,,,,
Korean J Intern Med,,,,,,
Korean J Lab Med,,,,,,
Korean J Med Educ,,,,,,
Korean J Neurotrauma,,,,,,
Korean J Ophthalmol,,,,,,
Korean J Parasitol,,,,,,
Korean J Pediatr,,,,,,
Korean J Radiol,,,,,,
Korean J Thorac Cardiovasc Surg,,,,,,
Korean journal of radiology,,,,,,
Lab Anim Res,,,,,,
Lab Invest,,,,,,
Laeknabladid,,,,,,
Lancet,,,,,,
Lancet Glob Health,,,,,,
Lancet Infect Dis,,,,,,
Lancet Planet Health,,,,,,
Lancet Respir Med,,,,,,
Letters in applied microbiology,,,,,,
Leukemia,,,,,,
Life Sci Alliance,,,,,,
Life Sci Soc Policy,,,,,,
Life Sciences,,,,,,
Lipids Health Dis,,,,,,
Local Reg Anesth,,,,,,
Lung Cancer Int,,,,,,
Lung India,,,,,,
MAbs,,,,,,
Malar J,,,,,,
Mamm Genome,,,,,,
Mar Drugs,,,,,,
Mass Spectrom Rev,,,,,,
Materials (Basel),,,,,,
Mayo Clinic Proceedings,,,,,,
mBio,,,,,,
Mcgill J Med,,,,,,
Med Clin (Barc),,,,,,
Med Educ Online,,,,,,
Med Hist,,,,,,
Med J Aust,,,,,,
Med J Islam Repub Iran,,,,,,
Med Law Rev,,,,,,
Med Microbiol Immunol,,,,,,
Med Mycol Case Rep,,,,,,
Med Princ Pract,,,,,,
Med Sci (Basel),,,,,,
Med Sci Monit,,,,,,
Medchemcomm,,,,,,
MedEdPORTAL.; 12:10433,,,,,,
Mediators Inflamm,,,,,,
Medical Journal of Australia,,,,,,
Medicina (Kaunas),,,,,,
Medicinal Research Reviews,,,,,,
Medicine (Abingdon),,,,,,
Medicine (Baltimore),,,,,,
Medicines (Basel),The Mediterranean Journal of Hematology and Infectious Diseases,"Mattioli 1885, Fidenza, Italy",Giuseppe Leone,,2035-3006,1.586
Mediterr J Hematol Infect Dis,Memórias do Instituto Oswaldo Cruz,,,0074-0276,1678-8060,
Mem Inst Oswaldo Cruz,Mens Sana Monographs, Medknow Publications (India),"Ajai R. Singh, M.D",0973-1229,1998-4014,
Mens Sana Monogr,,,,,,
Mental Health Weekly,Meta Gene,,"B. Bayram, PhD",,2214-5400,0.625
Meta Gene,Metabolites,MDPI AG,Prof. Dr. Peter Meikle,,2218-1989,3.303
Metabolites,"Methods in molecular biology (Clifton, N.J.)",Humana Press,John M. Walker,1940-6029,1064-3745,0.38
"Methods in molecular biology (Clifton, N.J.)",Methods and Protocols,MDPI ,Prof. Dr. Fernando Albericio ,, 2409-9279,
Methods Protoc,MethodsX,ELSEVIER,Solange Mussatto,,2215-0161,0.757
MethodsX,Microarrays,MDPI ,Ms. Aimee Ji,,2076-3905,
Microarrays (Basel),Microbial Biotechnology,SFAM,Kenneth N. Timmis,,1751-7915,4.857
Microb Biotechnol,Microbial Cell Factories,BMC,Prof Grzegorz Wegrzyn,,1475-2859,4.402
Microb Cell Fact,,,,,,
Microb Cell.; 4(10):311-330,,,,,,
Microb Cell.; 6(9):373-396,Microbial Ecology,Springer,Karen E. Nelson,0095-3628,1432-184X,3.611
Microb Ecol,MICROBIAL GENOMICS,Microbiology Society,Professor Kathryn Holt,,2057-5858,5.52
Microb Genom,Microbes and Infection,Institut Pasteur,David M. Ojcius,,1286-4579,2.669
Microbes and Infection,Microbes and Environments,M&E Digest,Ken Takai,1342-6311,1347-4405,2.575
Microbes Environ,Microbial Biotechnology,SFAM,Kenneth N. Timmis,,1751-7915,4.857
Microbial Biotechnology,Microbiology and Immunology,Wiley Online Library,"Yutaka Terao, Makoto Takeda and Kazuyoshi Kawakami",,1348-0421,1.442
Microbiol Immunol,Microbiology Insights,SAGE Journals,Professor Brenda Anne Wilson,,1178-6361,4.2
Microbiol Insights,Microbiology Resource Announcements,,Irene L G Newton,,2576-098X,
Microbiol Resour Announc,,,,,,
Microbiology,Microbiology and Immunology,Wiley Online Library,"Yutaka Terao, Makoto Takeda and Kazuyoshi Kawakami",,1348-0421,1.442
Microbiology and Immunology,MicrobiologyOpen,Wiley Online Library,,,2045-8827,2.738
Microbiologyopen,Microbiome,BMC,"Jacques Ravel 
Elizabeth Wellington",,2049-2618,
Microbiome,Micromachines,MDPI ,Prof. Dr. Nam-Trung Nguyen,,2072-666X,2.426
Micromachines (Basel),Microorganisms,MDPI ,Prof. Dr. Martin Von Bergen,, 2076-2607,4.167
Microorganisms,Midwifery,ELSEVIER,Professor Debra Bick,,0266-6138,2.048
Midwifery,Microchimica Acta,Springer,Alberto Escarpa Mamas I. Prodromidis,0026-3672,1436-5073,5.479
Mikrochim Acta,Military Medical Research,BMC,Xiao-Bing Fu,,2054-9369,1.51
Mil Med Res,Military Medical Research,BMC,Xiao-Bing Fu,,2054-9369,1.51
Military Medical Research,MMW Fortschritte der Medizin,Springer,"Prof. Dr. med. J. Bogner, Munich",1438-3276,,0.03
MMW - Fortschritte der Medizin,Morbidity and Mortality Weekly Report,Centers for Disease Control and Prevention (United States),Charlotte Kent,0149-2195,1545-861X ,
MMWR,Morbidity and Mortality Weekly Report,Centers for Disease Control and Prevention (United States),Charlotte Kent,0149-2195,1545-861X ,
MMWR and Morbidity and Mortality Weekly Report,Morbidity and Mortality Weekly Report,Centers for Disease Control and Prevention (United States),Charlotte Kent,0149-2195,1545-861X ,
MMWR Morb Mortal Wkly Rep,Morbidity and Mortality Weekly Report,Centers for Disease Control and Prevention (United States),Charlotte Kent,0149-2195,1545-861X ,
